siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,phone_number,url,current_url
45750981,65,4575098100065,O,1997-10-15,,,,2022-04-03T20:04:21,True,A,O,,1957-01-01,5599,CERES,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,N,,,65,2023-04-18T15:00:37,PME,2021.0,BP 89,185,,RUE,LEO LAGRANGE,59500,DOUAI,,BP 89,59178,59502,DOUAI CEDEX,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,N,03 66 06 02 01 ,,"https://www.google.com/maps/search/CERES+BP+89+185++RUE+LEO+LAGRANGE+59500+DOUAI/@50.3741855,3.0659134,14z/data=!3m1!4b1?entry=ttu"
45750981,73,4575098100073,O,2013-07-05,,,,2013-07-18T13:03:57,False,A,O,,1957-01-01,5599,CERES,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,N,,,65,2023-04-18T15:00:37,PME,2021.0,,139,,RUE,DU FAUBOURG DE PARIS,59500,DOUAI,,,59178,,,,,,,,,,,,,,,,,,,A,,,,CERES,11.05Z,NAFRev2,N,Error,,"https://www.google.com/maps/place/Ceres/@50.36753,3.0799171,17z/data=!3m1!4b1!4m6!3m5!1s0x47c2c968701712f5:0xb8873e5583caaa8d!8m2!3d50.36753!4d3.082492!16s%2Fg%2F11b6dqmcd1?entry=ttu"
310864012,11,31086401200011,O,1900-01-01,22,2021.0,,2023-11-30T10:20:37,True,A,O,,1973-01-01,5599,BRASSERIES DE BOURBON,,,,,,,,,,,,,,11.07B,NAFRev2,,N,N,O,31,2021.0,11,2023-11-30T10:20:37,GE,2021.0,ZI BAS DE LA RIVIERE,60,,QUAI,OUEST,97400,SAINT-DENIS,,BP 420,97411,97468,ST DENIS CEDEX,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,+262 262 90 22 00 ,,"https://www.google.com/maps/place/Brasseries+de+Bourbon/@-20.882794,55.4423511,17z/data=!3m1!4b1!4m6!3m5!1s0x21827f91bb8ff3a1:0xec98960bbda46a7c!8m2!3d-20.882794!4d55.444926!16s%2Fg%2F11hys_fm36?entry=ttu"
310864012,45,31086401200045,O,1962-04-02,12,2021.0,,2023-11-30T10:20:37,False,A,O,,1973-01-01,5599,BRASSERIES DE BOURBON,,,,,,,,,,,,,,11.07B,NAFRev2,,N,N,O,31,2021.0,11,2023-11-30T10:20:37,GE,2021.0,ZAC LOT7,,,,MON REPOS,97410,SAINT-PIERRE,,,97416,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,Phone number not found,,"https://www.google.com/maps/search/BRASSERIES+DE+BOURBON+ZAC+LOT7++++MON+REPOS+97410+SAINT-PIERRE/@-21.3089904,55.4219394,12z/data=!3m1!4b1?entry=ttu"
310864012,60,31086401200060,O,1994-12-19,12,2021.0,,2023-11-30T10:20:37,False,A,O,,1973-01-01,5599,BRASSERIES DE BOURBON,,,,,,,,,,,,,,11.07B,NAFRev2,,N,N,O,31,2021.0,11,2023-11-30T10:20:37,GE,2021.0,GILLOT,13,,AV,ROLAND GARROS,97438,SAINTE-MARIE,,,97418,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,+262 262 93 13 80 ,,"https://www.google.com/maps/place/Distribution+warehouse+center+Brasseries+de+Bourbon/@-20.8989925,55.5053749,17z/data=!3m1!4b1!4m6!3m5!1s0x217880335f33bbaf:0xe5edfddc759e149d!8m2!3d-20.8989925!4d55.5079498!16s%2Fg%2F1tfj5rz6?entry=ttu"
315255752,18,31525575200018,O,1979-01-01,12,2021.0,1105ZZ,2023-11-30T10:21:21,True,A,O,,1979-01-01,5710,BRASSERIE CASTELAIN,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,O,12,2021.0,18,2023-11-30T10:21:21,PME,2021.0,,13,,RUE,PASTEUR,62410,BENIFONTAINE,,,62107,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,03 21 08 68 68 ,,"https://www.google.com/maps/place/Brasserie+Castelain/@50.4856863,2.8292858,17z/data=!3m1!4b1!4m6!3m5!1s0x47dd2fd0ec78c84f:0x5e9ee8150ba0d0d2!8m2!3d50.4856863!4d2.8318607!16s%2Fg%2F121bk71g?entry=ttu"
324264167,28,32426416700028,O,1985-04-15,03,2021.0,1107BZ,2023-11-30T10:23:16,True,A,O,,1963-01-01,5499,LES BRASSEURS DU SORNIN,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,,O,03,2021.0,28,2023-11-30T10:23:16,PME,2021.0,,400,,RTE,DE ROANNE,42720,POUILLY-SOUS-CHARLIEU,,,42177,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,04 77 60 82 28 ,,"https://www.google.com/maps/place/Les+Brasseurs+du+Sornin/@46.1328674,4.1053768,17z/data=!3m1!4b1!4m6!3m5!1s0x47f4090efc44253b:0xe5362aaa3f522fdb!8m2!3d46.1328674!4d4.1079517!16s%2Fg%2F1tp_5qz2?entry=ttu"
330100595,41,33010059500041,P,2021-04-01,,,1105ZZ,2021-04-03T11:03:44,False,A,P,,1984-06-21,1000,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],90.03B,NAFRev2,,,,N,NN,,25,2022-08-31T09:35:52,PME,2021.0,[ND],[ND],[ND],[ND],[ND],[ND],SAINT-SULPICE-LE-GUERETOIS,,[ND],23245,[ND],[ND],,,[ND],[ND],[ND],[ND],[ND],[ND],,,[ND],,[ND],[ND],,,A,[ND],[ND],[ND],[ND],11.05Z,NAFRev2,N,Phone number not found,,"https://www.google.com/maps/search/%5BND%5D+%5BND%5D+%5BND%5D+%5BND%5D+%5BND%5D+%5BND%5D+%5BND%5D+SAINT-SULPICE-LE-GUERETOIS/@46.1968461,1.7892014,13z/data=!3m1!4b1?entry=ttu"
330894106,13,33089410600013,O,1984-10-01,NN,,1105ZZ,2019-11-14T14:00:53,True,A,O,,1984-10-01,5499,RESTAURANT LAUTH ET FILS,,,,,,,,,,,,,,11.05Z,NAFRev2,,,,O,NN,,13,2017-05-20T03:15:59,PME,2021.0,,63,,RUE,PRINCIPALE,67310,SCHARRACHBERGHEIM-IRMSTETT,,,67442,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,03 88 50 66 05 ,,"https://www.google.com/maps/place/Sarl+Restaurant+Lauth+Et+Fils/@48.5936969,7.4917077,17z/data=!3m1!4b1!4m6!3m5!1s0x4796ae34f4e7ca17:0x2a39c7799b4ff673!8m2!3d48.5936969!4d7.4942826!16s%2Fg%2F11ddwxqn43?entry=ttu"
331859496,19,33185949600019,O,1985-02-13,12,2021.0,,2023-11-30T10:25:27,True,A,O,,1985-02-13,5710,BRASSERIE 3 MONTS,,,,,,,,,,,,,,11.05Z,NAFRev2,,N,N,O,12,2021.0,19,2023-11-30T10:25:27,PME,2021.0,,1,,RUE,DE LA CHAPELLE,59114,SAINT-SYLVESTRE-CAPPEL,,,59546,,,,,,,,,,,,,,,,,,,A,,,,,11.05Z,NAFRev2,O,03 28 40 15 49 ,,"https://www.google.com/maps/place/Brasserie+de+Saint-Sylvestre/@50.7777687,2.5520319,17z/data=!3m1!4b1!4m6!3m5!1s0x47dce661b370a297:0xe5b2eab227bac85a!8m2!3d50.7777687!4d2.5546068!16s%2Fm%2F026_273?entry=ttu"
