Colonne1;siret;etablissementSiege;denominationUniteLegale;codePostalEtablissement;libelleCommuneEtablissement;type de prospect
255;89403386900021;FALSE;A.D PATATE;81320;BARRE;Transfo PDT
275;97958496800015;TRUE;AGRISTO;59161;ESCAUDOEUVRES;Transfo PDT
56;39772959100016;FALSE;ALTHO;56920;SAINT-GERAND-CROIXANVEC;Transfo PDT
57;39772959100040;TRUE;ALTHO;75015;PARIS 15;Transfo PDT
144;47796076900016;TRUE;AU FIL DE L'AUBRAC;12460;SAINT-AMANS-DES-COTS;Transfo PDT
74;41226963100013;TRUE;AUX PORTES DE L ARZON;43500;CHOMELIX;Transfo PDT
75;41226963100021;FALSE;AUX PORTES DE L ARZON;43500;CHOMELIX;Transfo PDT
197;81110211000012;TRUE;BALESKIAK;64210;AHETZE;Transfo PDT
141;45131550100036;TRUE;BAY WEST;29660;CARANTEC;Transfo PDT
203;81402111900049;TRUE;BELGIUM FOOD PRODUCT;97460;SAINT-PAUL;Transfo PDT
156;48304795700012;TRUE;BOTERDAEL;59280;ARMENTIERES;Transfo PDT
166;49270851600017;TRUE;BUS  SNACK;62200;BOULOGNE-SUR-MER;Transfo PDT
116;43824366900027;TRUE;CAMI;13170;LES PENNES-MIRABEAU;Transfo PDT
22;98042063200013;TRUE;CHAMPART INDUSTRIE;51230;FERE-CHAMPENOISE;Transfo PDT
216;83391634900016;TRUE;CHIPSIM;81200;AUSSILLON;Transfo PDT
248;89058387500012;TRUE;CL DUNKERQUE;59299;BOESCHEPE;Transfo PDT
249;89058387500020;FALSE;CL DUNKERQUE;59630;BOURBOURG;Transfo PDT
276;98027089600015;TRUE;DELICE FRITES;92600;ASNIERES-SUR-SEINE;Transfo PDT
243;88401580100019;TRUE;DOMAINE DE LA CROUSTILLE;33990;HOURTIN;Transfo PDT
176;52163512800015;TRUE;DOROBELLE;59130;LAMBERSART;Transfo PDT
238;87983131100011;TRUE;EASY-QUAL;13012;MARSEILLE 12;Transfo PDT
277;98110026600015;TRUE;ECOFROST PERONNE;80440;BLANGY-TRONVILLE;Transfo PDT
